,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
588,1998,puu24,9/5/98,129.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
589,1998,puu24,10/5/98,130.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
590,1998,puu24,11/5/98,131.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
595,1998,puu25,2/5/98,122.00,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,1
596,1998,puu25,3/5/98,123.00,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,2
597,1998,puu25,4/5/98,124.00,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,3
598,1998,puu25,5/5/98,125.00,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,3
599,1998,puu25,6/5/98,126.00,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,3
600,1998,puu25,7/5/98,127.00,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,,4
601,1998,puu25,8/5/98,128.00,1,0,0,0,1,0,1,1,1,1,,,,,,,,,,,6
602,1998,puu25,9/5/98,129.00,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,9
603,1998,puu25,10/5/98,130.00,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,9
604,1998,puu25,11/5/98,131.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
608,1998,puu26,1/5/98,121.00,1,0,0,1,1,0,1,0,0,1,,,,,,,,,,,5
609,1998,puu26,2/5/98,122.00,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,9
610,1998,puu26,3/5/98,123.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
611,1998,puu26,4/5/98,124.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
612,1998,puu26,5/5/98,125.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
613,1998,puu26,6/5/98,126.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
614,1998,puu26,7/5/98,127.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
615,1998,puu26,8/5/98,128.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
616,1998,puu26,9/5/98,129.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
617,1998,puu26,10/5/98,130.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
618,1998,puu26,11/5/98,131.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
619,1998,puu27A,28/4/98,118.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
620,1998,puu27A,29/4/98,119.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
621,1998,puu27A,30/4/98,120.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
622,1998,puu27A,1/5/98,121.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
623,1998,puu27A,2/5/98,122.00,1,1,0,0,1,1,0,1,0,1,,,,,,,,,,,6
624,1998,puu27A,3/5/98,123.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
625,1998,puu27A,4/5/98,124.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
626,1998,puu27A,5/5/98,125.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
627,1998,puu27A,6/5/98,126.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
628,1998,puu27A,7/5/98,127.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
