BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
16,Setaria glauca,,,,,,,<300,,
16,Silene alba ,,,,,,,179,,
16,Tanacetum vulgare ,,,,,,,,,
16,Taraxacum officinale ,2,,127,,,134,150,,
16,Trifolium pratense ,,,,,,,,,
16,Trifolium repens ,,,,,,,,,
16,Veronica arvensis ,,,,,,134,150,,
16,Setaria viridens,,,,,,,,,
16,,,,,,,,,,
16,,,,,,,,,,
17,Achillea millefolium,,,,,,,,,
17,Asclepias syriaca ,,,,,179,,<300,,
17,Berteroa incana,,,,,,,,,
17,Capsella bursa-pastoris ,,,,,,,,,
17,Cerastium fontanum ,,,,150,,,179,,
17,Conyza canadensis,,,,,,,,,
17,Dactylis glomerata ,,,143,,,,179,,
17,Draba verna ,,,,,,,,,
17,Elymus repens ,,,,,179,,<300,,
17,Erigeron annuus ,,,,179,,,<300,,
17,Festuca spp. ,,,150,,,,179,,
17,Lepidium virginicum,,,,,,,,,
17,Oenothera biennis,,,,,,,,,
17,Oxalis stricta ,,,,143,,,179,,
17,Phleum pratense ,,,,,,,,,
17,Plantago lanceolata ,,,,,,,<300,,
17,Poa trivialis,,,134,,150,,179,,
17,Potentilla argentea ,,,150,,,,<300,,
17,Rumex crispus ,,1,143,,,,179,,
17,Setaria glauca,,,,,,,<300,,
17,Silene alba ,,,,,,,,,
17,Tanacetum vulgare ,,,,,,,,,
17,Taraxacum officinale ,,,,,,,,,
17,Trifolium pratense ,,,,,,,,,
17,Trifolium repens ,,,,,,,,,
17,Veronica arvensis ,10,,,,128,134,179,,
17,,,,,,,,,,
17,,,,,,,,,,
18,Achillea millefolium,,,,,,,,,
18,Asclepias syriaca ,,,150,,,179,<300,,
18,Berteroa incana,,,,,,,,,
18,Capsella bursa-pastoris ,,,,,,,,,
18,Cerastium fontanum ,,,,,,,,,
18,Conyza canadensis,,,,,,,,,
18,Dactylis glomerata ,,,,,,,,,
18,Draba verna ,?,,,,,119,127,,
18,Elymus repens ,,,,,179,,<300,,
18,Erigeron annuus ,,,,,,,,,
18,Festuca spp. ,,,,,,,,,
18,Lepidium virginicum,,,,,,,179,,
18,Oxalis stricta ,,,,143,,,<300,,
18,Phleum pratense ,,,,,,,,,
18,Plantago lanceolata ,,,,,,,,,
18,Poa trivialis,,,134,,150,,179,,
18,Potentilla argentea ,,,,,,,,,
18,Rumex crispus ,,,,,,,,,
18,Setaria glauca,,,,,,,<300,,
18,Silene alba ,,,,,,,,,
18,Tanacetum vulgare ,,,,,,,<300,,
18,Taraxacum officinale ,4,,,,127,127,143,,
18,Trifolium pratense ,,,,,,,,,
18,Trifolium repens ,,,,,,,,,
18,Veronica arvensis ,10,,,119,127,14,143,,
18,Oenothera biennis,,,,,,,,,
18,Setaria viridens,,,,,,,,,
18,,,,,,,,,,
18,,,,,,,,,,
19,Achillea millefolium,2,,128,,179,,<300,,
19,Asclepias syriaca ,50,,143,,,,<300,,
19,Berteroa incana,,,,,,,,,
19,Capsella bursa-pastoris ,,,,,,,,,
19,Cerastium fontanum ,,,,,,,,,
19,Conyza canadensis,,,,,,,,,
19,Dactylis glomerata ,,,,,,,,,
19,Digitaria ischaemum,,,,,,,,,
19,Draba verna ,,,,,,,,,
19,Elymus repens ,,,,,,,300,,
19,Erigeron annuus ,,,,,,,,,
19,Festuca spp. ,,,,,,,,,
19,Lepidium virginicum,,,,,,,,,
19,Oxalis stricta ,,,,134,,143,179,,
19,Phleum pratense ,,,,,,,,,
19,Plantago lanceolata ,,,,,,150,179,,
19,Poa trivialis,2,,128,,143,,179,,
19,Polygonum aviculare,,,,,,,,,
19,Potentilla argentea ,,,,,,,,,
19,Rumex crispus ,,1,143,,,,179,,
19,Setaria glauca,,,,,,,<300,,
19,Silene alba ,,,,150,,,179,,
19,Tanacetum vulgare ,,,,,,,,,
19,Taraxacum officinale ,,,,,,,,,
19,Trifolium pratense ,,,,,,,,,
19,Trifolium repens ,,,,,,,,,
19,Veronica arvensis ,5,,,128,,134,150,,
19,Oenothera biennis,,,,,,,,,
19,,,,,,,,,,
19,,,,,,,,,,
20,Achillea millefolium,4,,119,,150,,<300,,
20,Asclepias syriaca ,,,143,,,,<300,,
20,Berteroa incana,,,,,,,,,
20,Capsella bursa-pastoris ,,,,,,134,,,
20,Cerastium fontanum ,3,,,128,134,143,179,,
20,Conyza canadensis,,,,,,,,,
20,Dactylis glomerata ,2,,128,,143,,179,,
20,Draba verna ,,,,,,,,,
20,Elymus repens ,,,150,,,,179,,
20,Erigeron annuus ,,,,,179,,<300,,
20,Festuca spp. ,,,,,,,,,
20,Lepidium virginicum,,,143,150,,179,<300,,
20,Oxalis stricta ,5,,,128,143,,150,,
20,Phleum pratense ,,,,,,,,,
20,Plantago lanceolata ,,,,,,,,,
20,Poa trivialis,2,,128,,143,,179,,
20,Potentilla argentea ,,,,,,,,,
20,Rumex crispus ,,,,,,,,,
20,Setaria glauca,,,,,,,,,
20,Silene alba ,20,,128,,134,150,179,,
20,Tanacetum vulgare ,,,,,,,,,
20,Taraxacum officinale ,,,,,,,,,
20,Trifolium pratense ,,,,,,,,,
20,Trifolium repens ,,,,,,,,,
20,Veronica arvensis ,30,,,112,119,,134,,
20,Lotus corniculatus,,,,,,,,,
20,,,,,,,,,,
20,,,,,,,,,,
21,Achillea millefolium,,,,,,,,,
21,Asclepias syriaca ,,,,,,,,,
21,Berteroa incana,,,,,,,,,
